title,content,source,date,url
"가천대, 베트남 CIED와 글로벌 인재 양성 협약","[가천대 제공] [헤럴드경제(성남)=박정규 기자]가천대(총장 이길여)가 지난 25일 베트남 교육부 산하 기관 CIED(Center for International Education Development)와 글로벌 인재 양성을 위한 업무협약(MOU)을 체결했다. CIED는 베트남 교육부 산하 기관으로 해외 유학 지원, 국제 교육 프로그램 운영, 글로벌 교육 네트워크 구축 등을 담당하며 베트남 교육의 국제화를 선도하고 있다. 협약식은 이날 가천대 글로벌센터에서 열렸으며, 가천대 김상혁 국제교류처장과 CIED 판 탄 빈 부센터장 등 양 기관 관계자들이 참석했다. 이번 협약은 양국 간 인적 교류를 확대하고 교육 협력 네트워크를 강화하기 위해 추진됐다. 주요 협약 내용은 ▷고교 졸업생 대상 가천대 학부진학 및 한국어 어학연수 지원 ▷베트남 대학 졸업생의 가천대 대학원 진학 지원 ▷베트남 주요 대학과의 추가 교육 협력 모델 구축 ▷기타 교육 및 국제교류 활동 공동 추진 등이다. 가천대는 이번 협약을 통해 공학 및 메디컬 분야를 중심으로 한 글로벌 교육 협력을 본격화하고, 베트남 우수 인재 유치 기반을 확대할 계획이다. 판 탄 빈 CIED 부센터장은 “가천대의 반도체 교육 시스템과 메디컬 인프라, 학생 중심 교육 철학에 깊은 인상을 받았다”며 “양 기관 협력을 통해 양국 간 인적 교류가 더욱 활성화되도록 적극 협력하겠다”고 말했다. 김상혁 가천대 국제교류처장은 “가천대의 특성화된 교육 경쟁력을 바탕으로 베트남 우수 인재를 유치하고 글로벌 리더로 성장할 수 있도록 지원하겠다”며 “이번 협약이 한·베 양국 간 교육 협력 확대와 국제 인재 교류의 중요한 계기가 되길 기대한다”고 밝혔다. fob140@heraldcorp.com",heraldcorp,2026-03-26,https://biz.heraldcorp.com/article/10703732?ref=naver
"가천대, AI 아이케어 키오스크 공개…산학협력 사업화 성과","바이오헬스 GUIP사업단 나라장터 엑스포 참가 전문가 얼라이언스 활용…기업 맞춤형 기술 지원 ‘코리아 나라장터 엑스포 2026’에 전시된 ㈜픽셀로의 AI 기반 디지털 아이케어 키오스크. 가천대 바이오헬스 GUIP사업단의 기술사업화 지원을 통해 구현된 제품으로, 시력·안구 건강 상태를 분석하고 맞춤형 정보를 제공한다. (사진제공=가천대) [한국대학신문 김윤미 기자] 가천대학교(총장 이길여) 바이오헬스 GUIP사업단이 산학협력 기반 기술 지원을 통해 인공지능(AI) 헬스케어 제품 사업화 성과를 공개했다. 대학 연구 역량과 기업 기술을 결합한 협력 모델이 공공조달 시장 진입 가능성을 높이고 있다는 평가다. 가천대는 사업단이 최근 열린 ‘코리아 나라장터 엑스포 2026’에 참가해 기업과 공동 개발한 AI 기반 디지털 아이케어 키오스크를 선보였다고 밝혔다. 이번 전시는 기술사업화 성과를 현장에서 검증하고 판로 확대 가능성을 확인하는 계기가 됐다. 해당 제품은 사용자 눈 건강 상태를 분석해 맞춤형 정보를 제공하는 AI 솔루션으로, 비대면 환경에서도 활용 가능한 공공·의료 서비스 모델로 주목받고 있다. 사업단은 기업과의 협력 과정에서 기술협력 전문가 얼라이언스 인력풀을 활용해 분야별 전문 인력을 연결하고, 설계와 기술 구현 전반에 대한 자문을 제공했다. 이를 통해 제품 완성도를 높이고 실제 적용 가능성을 강화했다는 설명이다. 특히 대학의 연구 역량과 기업의 제품화 기술이 결합된 구조가 사업화 성과로 이어지면서 산학협력 모델의 실효성을 보여준 사례로 평가된다. 서원식 사업단장은 기술 전문가 네트워크 기반 지원이 기업 맞춤형 성과로 이어졌으며, 향후에도 현장 중심 기술 지원과 사업화 확대를 지속할 계획이라고 밝혔다. 이번 전시에서 선보인 제품은 공공기관과 바이어의 관심을 받으며 향후 공공조달 시장 진입과 확산 가능성을 높였다. 향후 가천대는 산학협력을 기반으로 기술 개발부터 사업화까지 연계하는 지원 체계를 강화해 바이오헬스 분야 기술 경쟁력을 높여 나갈 방침이다. 0 키워드 #가천대 #코리아 나라장터 엑스포 2026 #헬스케어 #기술지원 김윤미 기자 kimyunmi@unn.net 다른기사 보기 저작권자 © 한국대학신문 무단전재 및 재배포 금지",unn,,https://news.unn.net/news/articleView.html?idxno=591130
인천 남동구에 ‘가천이길여길’ 명예도로명 부여,"[이데일리 이순용 의학전문기자] 가천대 길병원이 위치한 인천광역시 남동구에 설립자 이길여 가천길재단 회장의 이름을 붙인 도로명이 생겼다. 인천광역시 남동구는 지난 2월, 남동대로 755부터 792, 남동대로 774번길 1부터 30까지 530m 구간을 ‘가천이길여길’ 명예도로명으로 지정했다. 암센터앞사거리에서 길병원사거리 방향 6차선 도로와, 여성전문센터 앞 2차선 도로가 해당한다. 남동구는 ‘가천(嘉泉) 이길여 박사는 여성 의사 최초로 의료법인을 설립해 인천 의료발전에 크게 기여하였고, 교육 분야를 혁신으로 이끌어 왔다’며 ‘박애, 봉사, 애국을 실천한 업적을 기리고자 명예도로명을 부여한다’고 공고한 바 있다. 명예도로명은 실제 주소로 사용되지는 않지만 해당 도시의 위상을 알리고, 상징성을 부여하기 위해 군수·구청장이 지정하는 도로명이다. 사회 헌신도와 공익성 등을 고려하여 주소정보위원회, 주민의견 등을 수렴해 지정한다. 이를 기념하는 제막식이 25일 오후 5시 가천대 길병원 대강당 가천홀에서 개최됐다. 신재경 인천광역시 정무부시장, 정해권 인천광역시의장, 김충진 남동구 부구청장, 이정순 남동구의장과 남동구의회 의원, 안승목 인천경영포럼 명예회장, 강창규 한반도통일연구원 이사장, 박철원 인천시 의사회장 등 인천시, 남동구 관계자 및 가천대 길병원 임직원 등 600여 명이 참석했다. 가천대 길병원은 명예도로명 지정으로 병원의 위상을 높이는데 기여한 유정복 인천시장, 정해권 인천시의장, 박종효 남동구청장, 안승목 명예회장, 강창규 이사장 등 5명에게 감사패를 전달했다. 이길여 가천길재단 회장은 인사말을 통해 “가천길재단이 달려온 길은 혼자만의 길이 아닌, 인천이라는 도시와 지역사회 시민 여러분이 보살피고 함께 키워주신 길이었으며, 의료진과 학생, 수많은 가천의 가족이 손에 손을 잡고 함께 해왔기에 가능한 길이었다”며 “인천광역시와 시의회, 남동구청을 비롯한 여러 기관 관계자 분들, 가천의 가족 모두에게 감사 드린다”고 말했다. 또 “‘가천이길여길’이 가천길재단의 정신과 인천의 자부심을 아우르는 길로 역사에 기록되기를 바란다”고 말했다. 이길여 가천길재단 회장(가천대학교 총장)은 서울대 의대 졸업 후 1958년 인천 중구에 산부인과의원을 개원하며 인천과 인연을 맺었다. 시민을 위한 종합병원이 절실하다는 생각으로 1978년 전 재산을 환원해 한국 여의사 최초로 의료법인을 설립하고 인천길병원(현 동인천길병원)을 개원했다. 1987년 현재 병원이 위치한 남동구 구월동에 중앙길병원(현 가천대 길병원)을 설립, 국내 굴지의 대학병원으로 발전시키며 지역사회와 함께 성장해 왔다. 또한 의료 인재 양성을 위해 1998년 가천의대를 설립하고 2012년 가천대학교를 출범시키는 등 교육 분야에서도 선도적인 리더십을 보여왔다. 이길여 회장은 인천 지역에 뿌리내린 지난 68년 동안 의료, 교육, 문화, 봉사 등 다양한 분야에서 탁월한 성과를 이루며 지역 발전도 함께 견인해 왔다는 평가를 받는다. 이날 제막식에서 공개된 명예도로명 안내판은 행사 후 남동구와 협의해 안전한 위치에 설치될 예정이다. 한편, 25일은 가천대 길병원이 개원 68주년을 맞이하는 날로, 제막식 후 개원기념식이 이어서 개최됐다. 가천대 길병원은 개원기념식에서 모범직원 및 장기근속 직원 등을 시상하고 격려했다.",edaily,,http://www.edaily.co.kr/news/newspath.asp?newsid=03414486645387256
인천 남동대로에 ‘가천이길여길’ 명예도로명 지정,"가천이길여길 명예도로명 부여구간 약도와 이길여 가천길재단 회장 사진. 길병원 제공 가천대 길병원은 인천 남동구가 최근 남동대로 755부터 792, 남동대로 774번길 1부터 30까지 530m 구간을 ‘가천이길여길’ 명예도로명으로 지정했다고 25일 밝혔다. 암센터앞사거리에서 길병원사거리 방향 6차로와 여성전문센터 앞 2차로가 해당된다. 남동구는 이번 명예도로명 지정과 관련해 ‘가천(嘉泉) 이길여 박사는 여성 의사 최초로 의료법인을 설립해 인천 의료발전에 크게 기여했고 교육 분야를 혁신으로 이끌어 왔다’며 ‘박애, 봉사, 애국을 실천한 업적을 기리고자 명예도로명을 부여한다’고 공고했다. 명예도로명은 실제 주소로 사용되지 않지만 해당 도시의 위상을 알리고 상징성을 부여하기 위해 군수·구청장이 지정하는 도로명이다. 사회 헌신도와 공익성 등을 고려해 주소정보위원회, 주민의견 등을 수렴한 뒤 지정한다. 가천이길여길 명예도로명 지정을 기념하는 제막식은 이날 오후 5시 길병원 대강당 가천홀에서 열렸다. 이 자리에는 신재경 인천시 정무부시장, 정해권 인천시의회 의장, 김충진 남동구 부구청장, 이정순 남동구의회 의장 및 남동구의원, 안승목 인천경영포럼 명예회장, 강창규 한반도통일연구원 이사장, 박철원 인천시 의사회장을 비롯해 길병원 임직원 등 600여명이 참석했다. 길병원은 명예도로명 지정으로 병원의 위상을 높이는데 기여한 유정복 인천시장과 박종효 남동구청장을 포함한 정 의장, 안 명예회장, 강 이사장 등 5명에게 감사패를 전달했다. 제막식에서 공개된 명예도로명 안내판은 앞으로 남동구와 협의해 안전한 위치에 설치될 예정이다. 이길여 가천길재단 회장(가천대학교 총장)은 인사말을 통해 “가천길재단이 달려온 길은 혼자만의 길이 아닌 인천이라는 도시와 지역사회 시민 여러분이 보살피고 함께 키워주신 길이었으며 의료진과 학생, 수많은 가천의 가족이 손에 손을 잡고 함께 해왔기에 가능한 길이었다”면서 “인천시와 시의회, 남동구를 비롯한 여러 기관 관계자 분들, 가천의 가족 모두에게 감사 드린다”고 말했다. 이어 “가천이길여길이 가천길재단의 정신과 인천의 자부심을 아우르는 길로 역사에 기록되기를 바란다”고 덧붙였다. 앞서 이 회장은 서울대 의대 졸업 후 1958년 인천 중구에 산부인과의원을 개원하며 지역과 인연을 맺었다. 시민을 위한 종합병원이 절실하다는 생각으로 1978년 전 재산을 환원해 한국 여의사 최초로 의료법인을 설립하고 인천길병원(현 동인천길병원)을 개원했다. 1987년에는 남동구 구월동에 중앙길병원(현 길병원)을 설립했고 국내 굴지의 대학병원으로 발전시키며 지역사회와 함께 성장했다. 또 의료 인재 양성을 위해 1998년 가천의대를 설립하고 2012년 가천대를 출범시키는 등 교육 분야에서도 선도적인 리더십을 보였다. 이 회장은 인천 지역에 뿌리내린 지난 68년 동안 의료, 교육, 문화, 봉사 등 다양한 분야에서 탁월한 성과를 이루며 지역 발전도 함께 견인해 왔다는 평가를 받는다. 한편, 길병원은 이날 개원 68주년을 맞이해 제막식 이후 개원기념식을 진행했다. 개원기념식에선 모범직원 및 장기근속 직원 등을 시상하고 격려했다. 인천=김민 기자 ki84@kmib.co.kr GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재, 수집, 재배포 및 AI학습 이용 금지 사회2부 김민 기자 ki84@kmib.co.kr 응원하기 사회2부 인천 클릭! 기사는 어떠셨나요? 좋아요 0 화나요 0 후속기사 원해요 0 많이 본 기사 정치 경제 사회 국제 엔터 라이프 TOP50 해당분야별 기사 더보기 1 “중환자실에 있던 딸이 사직서를?” 유치원 교사 사망 감사 착수 2 재택 임종 가능하지만 새벽시간 ‘외로운 죽음’ 맞이할 수도 3 대전 참사에 500만원·국화·편지… ‘어느 날’ 또 나타나 익명의 온정 4 [단독] “의료사고로 식물인간 된 남편”… 피해구제 ‘좁은 문’마저 닫히나 5 ‘마약왕’ 박왕열, 필로폰 양성 반응···체포 전 투약 혐의 인정 국민일보가 꼼꼼히 읽어보고 선정한 오늘의 추천기사 ‘종량제 봉투 원료’ 나프타, 오늘부터",kmib,,https://www.kmib.co.kr/article/view.asp?arcid=0029579767&code=61122012&cp=nv
"가천대 의과대학, 장기추적통합임상실습(LIC) 국내 최초 도입","자세히 알아보기 인강 태블릿 여행 가이드 및 여행기 대학 정보 가천대학교(총장 이길여) 의과대학이 지역사회 기반 1차 의료 환경을 연계한 장기추적통합임상실습(LIC, Longitudinal Integrated Clerkship)을 국내 최초로 도입하며 의학교육 혁신에 나선다. 가천대학교 의과대학은 최근 쉐라톤 그랜드 인천 호텔에서 ‘LIC 과정 개발 워크숍’을 개최하고, 인천광역시의사회 및 인천광역시내과의사회와 업무협약(MOU)을 체결했다. 이번 협약은 대학과 지역 일차의료기관이 공동으로 표준화된 교육 지침을 마련하고, 안정적인 LIC 운영 기반을 구축하기 위해 추진됐다. 자세히 알아보기 시험 예상문제 교육 프로그램 수능 기출 호텔 및 숙박 건강 박물관 LIC는 기존의 단기·분절형 블록 실습과 달리, 학생이 한 명의 환자를 중심으로 대학병원과 지역 의원을 오가며 진료 전 과정을 장기적으로 경험하는 교육 방식이다. 이를 통해 학생들은 질병 중심의 지식 습득을 넘어 환자의 삶과 회복 과정을 통합적으로 이해하는 ‘환자 중심 진료 역량’을 기를 수 있다. 가천대학교 의과대학은 올해 4월 10일부터 본과 3학년 학생 4명을 대상으로 시범 운영을 시작하고, 내년에는 참여 인원을 10명(전체 학생의 약 20%)으로 확대해 정규 교육과정으로 정착시킬 계획이다. 특히 지역의사와 지도교수가 함께 참여하는 1:1 밀착 지도 및 피드백 체계를 구축해 교육의 질을 높이고, 지역 의료 현장에 즉시 적응 가능한 실무형 인재 양성에 주력할 방침이다. 이번 사업은 의과대학 교육혁신 지원사업의 일환으로, ‘지역에서 배우고 지역으로 돌아가는’ 선순환형 의료 인재 양성 모델 구축을 목표로 한다. 가천대학교는 이를 통해 인천 지역 의료 역량 강화는 물론, 지속 가능한 지역 의료 생태계 조성에도 기여할 것으로 기대하고 있다. 자세히 알아보기 교육 학원 수강권 엔터테인먼트 허브 시간 관리 워크숍 정욱진 가천대학교 의과대학장은 “인천광역시의사회 및 내과의사회와의 긴밀한 협력을 바탕으로 학생 중심의 임상 교육을 강화하고, 지역사회에 공헌하는 맞춤형 의료 인재 양성에 최선을 다하겠다”고 말했다. 저작권자 © E동아 무단전재 및 재배포 금지 김재성 기자 kimjs6@donga.com 다른기사 보기",donga,,https://edu.donga.com/news/articleView.html?idxno=105295
[병원계 소식] 3월 26일,"■인천 남동구에 ‘가천이길여길’ 명예도로명 부여 가천대 길병원이 위치한 인천광역시 남동구에 설립자 이길여 가천길재단 회장의 이름을 붙인 도로명이 생겼다. 인천광역시 남동구는 지난 2월, 남동대로 755부터 792, 남동대로 774번길 1부터 30까지 530m 구간을 ‘가천이길여길’ 명예도로명으로 지정했다. 암센터앞사거리에서 길병원사거리 방향 6차선 도로와, 여성전문센터 앞 2차선 도로가 해당한다. 남동구는 ‘가천(嘉泉) 이길여 박사는 여성 의사 최초로 의료법인을 설립해 인천 의료발전에 크게 기여하였고, 교육 분야를 혁신으로 이끌어 왔다’며 ‘박애, 봉사, 애국을 실천한 업적을 기리고자 명예도로명을 부여한다’고 공고한 바 있다. 명예도로명은 실제 주소로 사용되지는 않지만 해당 도시의 위상을 알리고, 상징성을 부여하기 위해 군수·구청장이 지정하는 도로명이다. 사회 헌신도와 공익성 등을 고려하여 주소정보위원회, 주민의견 등을 수렴해 지정한다. 이를 기념하는 제막식이 25일 오후 5시 가천대 길병원 대강당 가천홀에서 개최됐다. 신재경 인천광역시 정무부시장, 정해권 인천광역시의장, 김충진 남동구 부구청장, 이정순 남동구의장과 남동구의회 의원, 안승목 인천경영포럼 명예회장, 강창규 한반도통일연구원 이사장, 박철원 인천시 의사회장 등 인천시, 남동구 관계자 및 가천대 길병원 임직원 등 600여명이 참석했다. 가천대 길병원은 명예도로명 지정으로 병원의 위상을 높이는데 기여한 유정복 인천시장, 정해권 인천시의장, 박종효 남동구청장, 안승목 명예회장, 강창규 이사장 등 5명에게 감사패를 전달했다. 이길여 가천길재단 회장은 인사말을 통해 “가천길재단이 달려온 길은 혼자만의 길이 아닌, 인천이라는 도시와 지역사회 시민 여러분이 보살피고 함께 키워주신 길이었으며, 의료진과 학생, 수많은 가천의 가족이 손에 손을 잡고 함께 해왔기에 가능한 길이었다”며 “인천광역시와 시의회, 남동구청을 비롯한 여러 기관 관계자 분들, 가천의 가족 모두에게 감사 드린다”고 말했다. 또 “‘가천이길여길’이 가천길재단의 정신과 인천의 자부심을 아우르는 길로 역사에 기록되기를 바란다”고 말했다. 이길여 가천길재단 회장(가천대학교 총장)은 서울대 의대 졸업 후 1958년 인천 중구에 산부인과의원을 개원하며 인천과 인연을 맺었다. 시민을 위한 종합병원이 절실하다는 생각으로 1978년 전 재산을 환원해 한국 여의사 최초로 의료법인을 설립하고 인천길병원(현 동인천길병원)을 개원했다. 1987년 현재 병원이 위치한 남동구 구월동에 중앙길병원(현 가천대 길병원)을 설립, 국내 굴지의 대학병원으로 발전시키며 지역사회와 함께 성장해 왔다. 또한 의료 인재 양성을 위해 1998년 가천의대를 설립하고 2012년 가천대학교를 출범시키는 등 교육 분야에서도 선도적인 리더십을 보여왔다. 이길여 회장은 인천 지역에 뿌리내린 지난 68년 동안 의료, 교육, 문화, 봉사 등 다양한 분야에서 탁월한 성과를 이루며 지역 발전도 함께 견인해 왔다는 평가를 받는다. 이날 제막식에서 공개된 명예도로명 안내판은 행사 후 남동구와 협의해 안전한 위치에 설치될 예정이다. 한편, 25일은 가천대 길병원이 개원 68주년을 맞이하는 날로, 제막식 후 개원기념식이 이어서 개최됐다. 가천대 길병원은 개원기념식에서 모범직원 및 장기근속 직원 등을 시상하고 격려했다. ■힘찬병원, 무릎 인공관절수술 15만 례 돌파···로봇 수술 특화로 질적 혁신 힘찬병원이 무릎 인공관절수술 누적 15만례를 돌파하며 대한민국 정형외과 역사에 이례적인 이정표를 세웠다. 이번 기록은 목동 힘찬병원을 비롯해 강서, 강남 등 3곳과 상원의료재단 산하 힘찬병원(인천, 부평, 강북, 부산, 창원) 총 8개 병원이 개원 후 진행한 무릎 인공관절수술(전치환술 및 부분치환술 합산) 건수를 합산한 결과다. 2025년 기준 총 15만1720례를 달성하며 힘찬병원 브랜드는 명실상부한 국민 관절 병원으로서의 입지를 더욱 공고히 하게 됐다. 남창현 목동 힘찬병원장은 “이번 기록은 단순히 수술 건수가 많다는 수치적 성과를 넘어 15만 건에 달하는 각기 다른 임상 ",doctorstimes,,http://www.doctorstimes.com/news/articleView.html?idxno=237315
"가천대, '성남시 피지컬 AI 인재양성 아카데미 사업' 선정","가천대학교(총장 이길여)가 지난 4일 성남시가 주관하는 ‘성남시 피지컬 AI 인재양성 아카데미 사업’에 선정됐다. 가천대 인공지능학과 최재용 교수팀이 진공 흡착 그리퍼가 장착된 로봇팔을 활용해 물체 파지 및 이송 실험을 진행하고 있다. 티치펜던트와 프로그래밍을 통해 로봇의 좌표와 동작 조건을 제어하며 흡착 안정성과 위치 정확도, 반복 작업 효율을 검증하고 있다. (사진= 가천대 제공) 이 사업은 산업 현장에서 즉시 활용 가능한 피지컬 AI 시스템 엔지니어를 양성하기 위해 추진되며 비전(Vision), 엣지컴퓨팅(Edge Computing), 로보틱스(Robotics)를 피지컬 AI 교육의 핵심 축으로 오는 5월부터 12월까지 7개월간 총 1000시간 이내의 집중 교육 프로그램으로 진행된다. 성남시에 주민등록이 된 만 19~34세 청년과 성남시 소재 대학(원) 재학생 및 졸업예정자는 교육에 참여가능하며 1기 교육 프로그램에는 총 3억 원 규모의 예산이 투입되고 앞으로 다년도 형태로 운영될 예정이다. 교육은 가천대 비전타워와 AI관에서 진행되고 이론 중심에서 벗어나 기업 수요를 반영한 실습과 프로젝트 중심으로 구성된다. 이번 사업 총괄은 가천대 인공지능학과 최재용 교수가 맡는다. 교육과정은 C/C++ 기반 개발 역량을 중심으로 △하드웨어 제어 △소프트웨어 최적화 △실시간 통신 △사용자 인터페이스(UI) 설계 등 산업 현장에서 요구되는 기술을 폭넓게 다루는 것이 특징이다. 이를 통해 산업용 소프트웨어, 임베디드 시스템, 로보틱스, 실시간 제어 등 다양한 분야에서 실무형 프로젝트 수행이 가능한 인재를 양성할 계획이다. 가천대는 앞으로 인공지능과 소프트웨어, 로봇 응용 분야의 교육·연구 역량을 바탕으로 지역 산업 수요와 연계한 피지컬 AI 교육 모델을 구축한다는 목표다. 교육생들은 시스템 개발에 필요한 핵심 기술을 단계적으로 습득하고 산업 현장 문제 해결형 프로젝트를 수행하며 실무 역량을 강화하게 된다. 가천대 윤원중 부총장은 “이번 아카데미는 지역 청년과 대학(원)생들이 산업 수요에 대응할 수 있는 피지컬 AI 핵심 인재로 성장할 수 있도록 지원하는 실전형 교육 프로그램”이라며 “비전, 엣지컴퓨팅, 로보틱스를 아우르는 융합형 교육을 통해 성남시의 미래 산업 경쟁력 강화에도 기여할 것으로 기대한다”고 말했다. 하영 기자 editor@kyosu.net 다른기사 보기 #가천대 #성남시 #피지컬 AI #인재양성 아카데미 저작권자 © 교수신문 무단전재 및 재배포, AI학습 및 활용 금지",kyosu,,https://www.kyosu.net/news/articleView.html?idxno=201492
"가천대 약학대학 배문형 교수, '한우물파기 기초연구사업' 선정","자세히 알아보기 수능 기출 3월 학력평가 수능 대비 온라인 강좌 가천대학교 (총장 이길여) 약학과 배문형 교수가 2026년 한국연구재단 ‘한우물파기 기초연구사업’ 연구책임자로 선정됐다. 배문형 교수는 앞으로 10년간 약 20억원의 연구비를 지원받을 예정이다. 한국연구재단이 2023년 처음 시작한 ‘한우물파기 기초연구사업’은 우수한 젊은 연구자가 장기간 한 분야에서 도전적이고, 혁신적인 기초연구를 꾸준히 수행함으로써 세계적인 연구 성과를 창출할 수 있도록 지원하는 사업으로, 평가 역량이 검증된 심사위원단의 토론평가와 발표평가를 거쳐 과학기술 전 분야를 통틀어 30명의 연구자를 선정한다. 자세히 알아보기 시험 대비서 허브 수능 시계 오답노트 앱 과목별 심화 교재 호텔 및 숙박 배문형 교수는 <마이크로바이옴 암흑 대사체 기반 홀로-에피게놈 리프로그래밍을 통한 난치성 암 면역 내성 극복>이라는 연구주제로 이번 과제에 선정됐다. 인간과 수백만 년에 걸쳐 공진화해온 장내 미생물이 생산하는 대사체로부터 난치성 대장암의 면역 내성을 극복하는 차세대 파마바이오틱스 치료제를 개발하고자 하는 혁신적이고 도전적인 연구를 수행한다. 배문형 교수는 “이번 연구의 최종 목표는 현재 난치성 대장암 치료제가 갖고 있는 한계를 극복하는 것으로서 장내 미생물의 대사체를 기반으로 한 차세대 파마바이오틱스를 개발하고 싶다” 라고 전했다. 배문형 교수는 지난 2022년 약학대학에 부임한 이후, 가천대학교에서 최초로 네이처학술지를 주저자로 게재하였으며 가천대학교에서 ‘한우물파기 기초연구사업’에 처음으로 선정된 연구자로서 10년간 첨단바이오 약학연구를 수행할 예정이다. 저작권자 © E동아 무단전재 및 재배포 금지 김재성 기자 kimjs6@donga.com 다른기사 보기",donga,,https://edu.donga.com/news/articleView.html?idxno=105217
"가천대 약학대학 배문형 교수, '한우물파기 기초연구사업' 선정","가천대 약학대학 배문형 교수, '한우물파기 기초연구사업' 선정 김아름 기자 ar-ks486@bokuennews.com / 2026.03.26 09:37:19 가 가 가천대학교 (총장 이길여) 약학과 배문형 교수가 2026년 한국연구재단 '한우물파기 기초연구사업' 연구책임자로 선정됐다. 배문형 교수는 앞으로 10년간 약 20억원의 연구비를 지원받을 예정이다. 한국연구재단이 2023년 처음 시작한 '한우물파기 기초연구사업'은 우수한 젊은 연구자가 장기간 한 분야에서 도전적이고, 혁신적인 기초연구를 꾸준히 수행함으로써 세계적인 연구 성과를 창출할 수 있도록 지원하는 사업으로, 평가 역량이 검증된 심사위원단의 토론평가와 발표평가를 거쳐 과학기술 전 분야를 통틀어 30명의 연구자를 선정한다. 배문형 교수는 <마이크로바이옴 암흑 대사체 기반 홀로-에피게놈 리프로그래밍을 통한 난치성 암 면역 내성 극복>이라는 연구주제로 이번 과제에 선정됐다. 인간과 수백만 년에 걸쳐 공진화해온 장내 미생물이 생산하는 대사체로부터 난치성 대장암의 면역 내성을 극복하는 차세대 파마바이오틱스 치료제를 개발하고자 하는 혁신적이고 도전적인 연구를 수행한다. 배문형 교수는 ""이번 연구의 최종 목표는 현재 난치성 대장암 치료제가 갖고 있는 한계를 극복하는 것으로서 장내 미생물의 대사체를 기반으로 한 차세대 파마바이오틱스를 개발하고 싶다"" 라고 전했다. 배문형 교수는 지난 2022년 약학대학에 부임한 이후, 가천대학교에서 최초로 네이처학술지를 주저자로 게재하였으며 가천대학교에서 '한우물파기 기초연구사업'에 처음으로 선정된 연구자로서 10년간 첨단바이오 약학연구를 수행할 예정이다. 김아름 기자의 전체기사 보기 → 이 기사를 공유해보세요 Copyright @보건신문 All rights reserved. 네티즌 의견 닉네임 내 용 [ 300자 이내 / 현재: 0 자 ] ※ 사이트 관리 규정에 어긋나는 의견글은 예고없이 삭제될 수 있습니다. ※ 현재 총 ( 0 ) 건의 독자의견이 있습니다.",bokuennews,,http://www.bokuennews.com/news/article.html?no=275736
"가천대 약학대 심원식 교수팀, 아젤라산 피부 자극 원리 세계 최초 규명","가천대 약학대 심원식 교수팀, 아젤라산 피부 자극 원리 세계 최초 규명",,,http://www.whosaeng.com/169117
