번호,제목,언론사,URL,수집일
1,"인천 남동구에 ‘가천이길여길’ 명예도로명 부여",이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=03414486645387256,2026-03-27
2,"한평생 교육·의료 헌신… ‘가천이길여길’ 이어지다",경인일보,https://www.kyeongin.com/article/1760861,2026-03-27
3,"인천 남동구에 ‘가천이길여길’ 생겼다",후생신보,http://www.whosaeng.com/169190,2026-03-27
4,"인천에 '가천이길여길' 생겼다…""의료·교육 선도와 지역 발전 기여""",스포츠조선,https://www.sportschosun.com/life/2026-03-26/202603260100178790012366,2026-03-27
5,"인천 남동대로에 ‘가천이길여길’ 명예도로명 지정",국민일보,https://www.kmib.co.kr/article/view.asp?arcid=0029579767&code=61122012&cp=nv,2026-03-27
6,"“이 학생들 꼭 만나야 했다”…이길여 총장이 직접 부른 이유",한경,https://www.hankyung.com/article/202603126943h,2026-03-27
7,"이길여 총장, 사회공헌·학업 모범 학생에게 '가천인재상'",뉴시스,https://www.newsis.com/view/NISX20260312_0003545084,2026-03-27
8,"이길여 총장, 박애·봉사 실천한 2명에 '가천인재상' 수여",NEWS1,https://www.news1.kr/local/gyeonggi/6099364,2026-03-27
9,"가천대 이길여 총장, ‘박애·봉사·애국’ 실천 학생에 가천인재상",중앙일보,https://www.joongang.co.kr/article/25411314,2026-03-27
10,"이길여 가천대 총장, 박애·봉사 실천한 학생에 ‘인재상’ 시상",문화일보,https://www.munhwa.com/article/11574144?ref=naver,2026-03-27
